date,open,high,low,close,volume
2024-07-31 10:04:00,1174.95,1175.9,1174.95,1175.35,223
2024-07-31 10:05:00,1175.9,1175.9,1175.35,1175.35,79
2024-07-31 10:06:00,1175.35,1175.85,1174.4,1174.4,380
2024-07-31 10:07:00,1174.45,1175.0,1173.75,1174.65,312
2024-07-31 10:08:00,1174.65,1175.0,1174.4,1174.4,33
2024-07-31 10:09:00,1174.4,1174.4,1166.55,1167.15,3561
2024-07-31 10:10:00,1168.4,1170.85,1168.4,1170.85,1171
2024-07-31 10:11:00,1170.1,1172.45,1170.1,1172.45,451
2024-07-31 10:12:00,1171.7,1172.3,1171.7,1171.75,174
2024-07-31 10:13:00,1171.85,1174.4,1170.9,1170.9,1775
2024-07-31 10:14:00,1170.9,1172.0,1168.1,1169.15,959
2024-07-31 10:15:00,1169.15,1169.3,1168.15,1168.35,271
2024-07-31 10:16:00,1168.0,1168.0,1166.7,1166.7,782
2024-07-31 10:17:00,1166.7,1166.7,1163.25,1164.9,2870
2024-07-31 10:18:00,1164.9,1165.95,1164.65,1165.9,248
2024-07-31 10:19:00,1165.0,1166.3,1165.0,1166.3,374
2024-07-31 10:20:00,1165.8,1167.1,1164.0,1164.65,3524
2024-07-31 10:21:00,1164.65,1164.65,1163.6,1164.65,134
2024-07-31 10:22:00,1164.65,1164.65,1163.1,1163.1,178
2024-07-31 10:23:00,1163.1,1163.95,1163.1,1163.8,154
2024-07-31 10:24:00,1163.8,1163.8,1163.8,1163.8,178
2024-07-31 10:25:00,1163.8,1164.45,1163.8,1164.05,87
2024-07-31 10:26:00,1164.05,1165.25,1164.05,1164.05,307
2024-07-31 10:27:00,1164.05,1165.95,1163.5,1165.2,199
2024-07-31 10:28:00,1164.95,1164.95,1163.5,1163.9,775
2024-07-31 10:29:00,1163.9,1163.95,1163.2,1163.2,149
2024-07-31 10:30:00,1163.2,1165.75,1163.2,1165.75,1140
2024-07-31 10:31:00,1165.75,1165.75,1165.75,1165.75,41
2024-07-31 10:32:00,1165.75,1165.75,1164.7,1165.75,280
2024-07-31 10:33:00,1165.75,1167.0,1165.05,1165.45,3300
2024-07-31 10:34:00,1165.45,1165.45,1165.4,1165.4,8
2024-07-31 10:35:00,1165.4,1165.4,1164.4,1164.4,308
2024-07-31 10:36:00,1164.4,1165.35,1164.4,1165.35,11
2024-07-31 10:37:00,1165.35,1165.35,1164.65,1165.2,99
2024-07-31 10:38:00,1165.2,1165.25,1164.4,1165.25,311
2024-07-31 10:39:00,1165.25,1165.25,1165.25,1165.25,23
2024-07-31 10:40:00,1165.25,1165.25,1165.0,1165.0,47
2024-07-31 10:41:00,1165.0,1165.25,1165.0,1165.0,15
2024-07-31 10:42:00,1165.0,1165.25,1164.6,1164.6,521
2024-07-31 10:43:00,1164.6,1164.6,1163.4,1164.1,222
2024-07-31 10:44:00,1165.0,1165.0,1163.75,1165.0,351
2024-07-31 10:45:00,1165.0,1165.85,1165.0,1165.85,246
2024-07-31 10:46:00,1165.85,1165.85,1165.85,1165.85,6
2024-07-31 10:47:00,1165.85,1165.85,1165.0,1165.05,6
2024-07-31 10:48:00,1165.05,1165.8,1165.05,1165.05,139
2024-07-31 10:49:00,1165.05,1167.8,1165.05,1167.8,190
2024-07-31 10:50:00,1167.8,1168.35,1167.25,1168.35,310
2024-07-31 10:51:00,1168.3,1168.35,1168.3,1168.3,54
2024-07-31 10:52:00,1168.3,1168.35,1166.45,1166.45,160
2024-07-31 10:53:00,1166.45,1167.25,1166.45,1167.25,65
2024-07-31 10:54:00,1167.25,1167.25,1167.25,1167.25,0
2024-07-31 10:55:00,1167.25,1167.25,1166.1,1166.1,110
2024-07-31 10:56:00,1166.1,1167.25,1166.1,1166.25,79
2024-07-31 10:57:00,1166.25,1166.25,1166.25,1166.25,0
2024-07-31 10:58:00,1166.25,1166.95,1166.15,1166.25,135
2024-07-31 10:59:00,1166.25,1166.25,1166.25,1166.25,0
2024-07-31 11:00:00,1166.25,1167.55,1166.25,1167.55,71
2024-07-31 11:01:00,1167.55,1168.45,1167.5,1167.85,202
2024-07-31 11:02:00,1168.9,1169.9,1168.55,1169.05,380
2024-07-31 11:03:00,1169.05,1169.05,1168.5,1168.5,137
2024-07-31 11:04:00,1168.5,1168.9,1168.0,1168.0,87
2024-07-31 11:05:00,1168.0,1169.1,1168.0,1169.1,80
2024-07-31 11:06:00,1169.1,1169.25,1168.1,1168.25,94
2024-07-31 11:07:00,1169.45,1169.5,1167.95,1168.2,57
2024-07-31 11:08:00,1168.2,1169.35,1168.15,1169.35,34
2024-07-31 11:09:00,1169.35,1169.35,1166.3,1167.1,2733
2024-07-31 11:10:00,1167.1,1167.1,1166.1,1166.1,9
2024-07-31 11:11:00,1166.1,1166.85,1166.1,1166.75,180
2024-07-31 11:12:00,1166.75,1166.75,1165.1,1165.1,117
2024-07-31 11:13:00,1165.1,1165.75,1165.1,1165.75,13
2024-07-31 11:14:00,1165.75,1165.75,1164.0,1164.0,192
2024-07-31 11:15:00,1164.0,1164.6,1164.0,1164.6,64
2024-07-31 11:16:00,1164.6,1165.0,1164.6,1165.0,181
2024-07-31 11:17:00,1165.0,1165.0,1164.6,1165.0,28
2024-07-31 11:18:00,1165.0,1165.0,1164.6,1164.6,10
2024-07-31 11:19:00,1164.6,1165.0,1164.6,1165.0,32
2024-07-31 11:20:00,1165.0,1165.0,1164.95,1165.0,21
2024-07-31 11:21:00,1165.0,1165.0,1164.75,1164.75,137
2024-07-31 11:22:00,1164.75,1164.75,1164.75,1164.75,49
2024-07-31 11:23:00,1164.75,1164.75,1164.1,1164.1,358
2024-07-31 11:24:00,1164.1,1164.1,1164.05,1164.1,124
2024-07-31 11:25:00,1164.1,1164.1,1164.05,1164.1,51
2024-07-31 11:26:00,1164.1,1164.1,1164.05,1164.05,61
2024-07-31 11:27:00,1163.5,1163.65,1160.15,1160.9,2523
2024-07-31 11:28:00,1160.9,1161.25,1160.15,1161.25,483
